epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
141,953.511,1.60929,0.9628,0.00179,0.4365,0.39337,0.34851,0.09142,2.65668,2.35478,0.00364,7.54296e-05,7.54296e-05,7.54296e-05
142,959.965,1.59139,1.00817,0.00178,0.4163,0.42924,0.3479,0.09478,2.62889,2.38017,0.00357,7.5114e-05,7.5114e-05,7.5114e-05
143,966.475,1.6274,1.02468,0.00186,0.48024,0.42172,0.40104,0.11605,2.5601,2.42151,0.0034,7.47973e-05,7.47973e-05,7.47973e-05
144,972.96,1.60311,1.01847,0.00188,0.63019,0.34089,0.41443,0.11632,2.64535,2.42094,0.00365,7.44793e-05,7.44793e-05,7.44793e-05
145,979.409,1.60055,0.98961,0.00182,0.52745,0.37565,0.39974,0.11373,2.61471,2.38631,0.00358,7.41601e-05,7.41601e-05,7.41601e-05
146,987.947,1.59239,0.99917,0.00191,0.55749,0.37966,0.37925,0.10726,2.58335,2.39986,0.00344,7.38397e-05,7.38397e-05,7.38397e-05
147,994.459,1.59574,1.03467,0.00177,0.46683,0.41461,0.35849,0.09556,2.67978,2.28686,0.00362,7.35181e-05,7.35181e-05,7.35181e-05
148,1000.89,1.57824,0.94887,0.00182,0.50583,0.43692,0.38921,0.11514,2.5169,2.25259,0.00331,7.31955e-05,7.31955e-05,7.31955e-05
149,1007.46,1.56622,0.97071,0.0018,0.4826,0.43044,0.36853,0.0992,2.64155,2.30758,0.00363,7.28717e-05,7.28717e-05,7.28717e-05
150,1013.89,1.53343,0.91809,0.00168,0.45355,0.41398,0.34176,0.08804,2.6915,2.39826,0.00371,7.25467e-05,7.25467e-05,7.25467e-05
151,1020.37,1.6204,0.96459,0.00181,0.4666,0.44419,0.38607,0.10716,2.60917,2.24823,0.00351,7.22208e-05,7.22208e-05,7.22208e-05
152,1026.92,1.55246,0.91649,0.00177,0.46098,0.41618,0.37716,0.10046,2.65964,2.29069,0.00364,7.18937e-05,7.18937e-05,7.18937e-05
153,1033.34,1.55034,0.918,0.0018,0.54102,0.38585,0.40391,0.11695,2.54999,2.44662,0.00342,7.15656e-05,7.15656e-05,7.15656e-05
154,1039.82,1.58377,0.96698,0.00181,0.50952,0.39482,0.3864,0.10257,2.69483,2.33851,0.00376,7.12365e-05,7.12365e-05,7.12365e-05
155,1046.37,1.56821,0.93519,0.0018,0.49566,0.415,0.39625,0.10798,2.69972,2.37653,0.00375,7.09064e-05,7.09064e-05,7.09064e-05
156,1052.82,1.60356,0.96968,0.00183,0.45584,0.44554,0.39257,0.10189,2.76387,2.3024,0.00386,7.05753e-05,7.05753e-05,7.05753e-05
157,1059.28,1.61739,1.03658,0.00191,0.50429,0.43842,0.44714,0.12485,2.64237,2.398,0.00359,7.02432e-05,7.02432e-05,7.02432e-05
158,1065.83,1.54861,0.9572,0.00189,0.49455,0.43583,0.42307,0.11574,2.72007,2.37353,0.00378,6.99102e-05,6.99102e-05,6.99102e-05
159,1072.32,1.57218,1.00576,0.00181,0.57614,0.4421,0.45846,0.14504,2.51351,2.21939,0.00332,6.95763e-05,6.95763e-05,6.95763e-05
160,1080.04,1.55704,0.93227,0.00183,0.5465,0.46152,0.4112,0.11589,2.62488,2.14907,0.00352,6.92415e-05,6.92415e-05,6.92415e-05
161,1086.57,1.59235,0.96636,0.0018,0.51455,0.46119,0.39675,0.11065,2.6542,2.13033,0.00356,6.89058e-05,6.89058e-05,6.89058e-05
162,1094.9,1.54971,0.93963,0.00174,0.52778,0.46291,0.42544,0.11928,2.63511,2.15531,0.00354,6.85692e-05,6.85692e-05,6.85692e-05
163,1101.52,1.54571,0.9195,0.00176,0.50919,0.47783,0.44123,0.12716,2.61103,2.16329,0.00353,6.82318e-05,6.82318e-05,6.82318e-05
164,1108.05,1.58519,0.95898,0.00178,0.54245,0.42866,0.4314,0.12408,2.63328,2.12349,0.00362,6.78936e-05,6.78936e-05,6.78936e-05
165,1114.49,1.53187,0.96078,0.00168,0.47328,0.43617,0.38131,0.10519,2.65548,2.23551,0.00368,6.75546e-05,6.75546e-05,6.75546e-05
166,1121.03,1.62363,0.94348,0.00171,0.45954,0.44043,0.34951,0.0948,2.63767,2.25992,0.0036,6.72148e-05,6.72148e-05,6.72148e-05
167,1127.51,1.57868,0.96143,0.00171,0.4596,0.45924,0.37711,0.1014,2.66297,2.18076,0.00363,6.68743e-05,6.68743e-05,6.68743e-05
